title,id,url,created
"It appears we have a number of porn bandits in our midst dropping random pornographic ads.

This is not Pornhub, FYI. I am currently placing a million ruble bounty on the apprehension of said bandits. (Payment on bounties not guaranteed and may be rescinded at whim)",2246005138890512,https://facebook.com/groups/Ethpolsocpsy/posts/2246005138890512,2022-02-28 10:50:49
"The world is moving towards a world plan, not a plan the US, China, Russia, NATO or Ukraine. The failure of the citizens of Russia and Ukraine to understand this natural truth is the main reason for the war in Ukraine and Russia. the war and war arms are the need of sociology, political science and anthropology, not the need of the natural science. as well as, it is not the need of the man who made nature too.",2293529137471445,https://facebook.com/groups/Ethpolsocpsy/posts/2293529137471445,2022-04-28 23:08:39
"Does history matter? There is an interesting discussion about what the BLM (Black Lives Matter) actually believes in regard to blacks and cops. Some would argue that this discussion really only comes down to who is killing the most people. If it were to come to light that more black men die by being shot by other black men, for some this would mean that BLM has no ground to stand on. But, there is another account of the ethics of BLM. They might be saying, in fact, that the history of terror between white and black people in America itself plays multiple roles in the situation. First, when a culture of terror exists over time between the same set of groups, there develops layers of experience, one might call it layers of darkness, which color every event. You not only have to deal with the terror or threats and bullet but also of the group on group relationship. This might increase the validity of the terror. Second, long historical tendencies themselves might also be intrinsically bad. So part of the ethical problem is not just now one person feels in one moment, but how groups feel over time. There are parallels here with terror between religious groups in the middle east, India, China, and anywhere that has ever had slavery. So the question; does history matter ?",2294715970686095,https://facebook.com/groups/Ethpolsocpsy/posts/2294715970686095,2022-04-30 11:24:19
"We are already time traveling, at a relative pace, now we just need to find out how to accelerate or reverse. Simple enough. Any thoughts?",2292946304196395,https://facebook.com/groups/Ethpolsocpsy/posts/2292946304196395,2022-04-28 06:26:26
Is love a myth isn't it?,2293423134148712,https://facebook.com/groups/Ethpolsocpsy/posts/2293423134148712,2022-04-28 20:04:54
"My guess: when I'm sitting in my bar (the ""library"") off to myself either reading or doing what I do on here, a lot of people will see it as being ""lonely"". But if I were truly lonely, I would give all this up and become more social as I sometimes take time out to actually do. Ultimately, what it has always felt like to me is a question of solitude or isolation. And sometimes it's hard to tell.",2293347660822926,https://facebook.com/groups/Ethpolsocpsy/posts/2293347660822926,2022-04-28 17:24:03
"Lately, administrators on this site [ my favorite] have been a bit touchy, sensitive when I have addressed certain topics. So a few of my posts have been cancelled due to ""misinformation"", hmm. So I will not pass on misinformation this time, but merely acknowledge an observation- with a brilliant person`s quote: Elon Musk is quoted as saying that ""wokeness is a mind virus"" in December of 2021? Or is it something else which I don`t understand....a result of the Covid-19 virus? I`ve noticed with people [ mostly younger folks] who are woke, some certain characteristics. For instance, that gender is fluid in dozens of different ways. And the hostility and hate toward others who have different opinions seems to be unusually pronounced.",2293340430823649,https://facebook.com/groups/Ethpolsocpsy/posts/2293340430823649,2022-04-28 17:08:10
"Biotechnological convergence is coming, the transhumanist agenda, the elites want to assimilate us all into the hivemind and merge human intelligence with machine intelligence, it's literally the Borg from star trek coming into existence.

In the next 5-10 years we as a collective species are going to have to decide whether we will allow the financial elite to convert us all into nameless non-individuals who only exist as operable automatons of the AI machine intelligence or, do we wish to remain human beings with human intelligence separate from the machines, the operators who sit above the machines and give them instructions.

It's a literal war not only on what the future definition of ""humanness"" actually is, but also a war of organic biology vs synthetic pseudobiology.

It sounds sci fi like it could never happen in real life but, if humanity as a whole doesn't open up a dialogue about this, then ""they"" will choose for you and their choice is not in the best interest of individualism or ""humanness"" as we know it...",2292316560926036,https://facebook.com/groups/Ethpolsocpsy/posts/2292316560926036,2022-04-27 10:11:39
How do you find yourself?,2289979317826427,https://facebook.com/groups/Ethpolsocpsy/posts/2289979317826427,2022-04-24 10:21:14
"World humanism part 14
This is the ORIGINAL ideology of federated world community -backed up by a powerful philosophy- to KILL the Zionist plans of Globalism, New world order and one world government. And this is the only political ideology to resolve the irreconcilable CLASS ANTAGONISM.
Our PRINCIPLE philosophy is; 'in order to change the society, you need to change the CULTURE of the society'.
cvi) Meanwhile: the Socialism within the frame work of Capitalism is nothing but a bunch of BUREAUCRATIC DICTATORSHIP... Unless the Socialism is a global socio economic system with planned world economy; it is just another OPPRESSIVE political system for the working masses; no matter what nation state applies it...
Which is evident in the cases of China, Cuba and all those socialist labelled -counterrevolutionary- 'Nationalist' regimes.
That shouldn't mean I agree with Karl Marx's Socialism projection; where the working class is 'dictator' over the society under the dictation of a bunch of Marxist PARASITIC minority bureaucrats; and where the Democratic principles lifted to the shelves...
In our Humanist socio economic system there is no dictatorial authority, and the high contributing individuals are rewarded by handsome incentives, instead of being fearful of dictations.
Social Evolution is ESSENTIAL to ACHIEVE the Social Revolution.
1. It is the course of social EVOLUTION. Which will proceed naturally and decided by the socio-economic DY-NAMICS.
2. But if you are SKEPTIC not to know the laws of CAUSE and EFFECT; there is no cure for you.
3. It is NOT an impossible dream. Just a matter of UNI-FICATION of the co-thinkers of the world around a VIA-BLE political perspective.
4. But remember the socio-political fact that the Revolutions are the end results of Social Evolution.
5. And it cannot be achieved through the struggles of disoriented minorities, but through the UNIFIED efforts of dissatisfied majorities.
6. Social Evolution is ESSEN-TIAL to ACHIEVE the Social Revolution.11
7. Also bear in mind; today's traditional LEFT forces,-Marxist Trotskyist crowds- consist of parasitic EDUCAT-ED IGNORANT.
8. The first aspect every class conscious and progressive person to understand is; the SOCIALSIM/HUMANISM is the ALTERNATIVE world system to the Capitalism. Not the Nationalist factions like China or Cuba -and the rest- within the Capitalist order.
9. The DIFFERENCE is control-ling the world Economic system; by the minority Rich, or democratically elected community councils...
10. Which is to say; the productive forces of the world governed by the democratically elected Workplace, Community and Student councils.
11. And there can be no National solution to resolve CLASS AN-TAGONISM>
12. Which is to say that the PROGRESSIVE forces of the world community have the greatest RESPONSIBILTY to train and educate their social contacts politically.
13. No more Jaguera style individual HEROISM.
14 No more BUREAUCRACY dictatorships over the workers’ class struggle around the world.
15. Noooo more ‘once a leader is always a leader’ business within the Humanist organizations.
16. Instead, every RESPONSIBLE class conscious minded person should do his/her best to find a SOLUTION for facilitating the communities to train one another politically…
17. As we have proposed in the perspective of the Humanist International: A leader or member of the Humanist organization can only stand One or Maximum of 2 terms in his/her political party post… In order to regularly dynamize the political structure and prevent opportunism as well as corruption…
18. If you are TRULY a GENUINE progressive REVOLUTIONARY minded person, join the RANKS of Humanist International by joining the progressive elements in your locality to start CULTURAL GROUP DISCUSSIONS....
19. Our Revolutionary Ideology is LEGITIIMISED by the fact that, we are defending the interests of greatest majority of the world community...
20. Remember: The present world affairs are in the hands of LUNATIC financial OLIGARCH; their cultural RETARD political servants and confused duck world scientists; who are taking advantage of theeeeee political IGNORANCE of the world masses...
21. The majority of the world's youth today regard ""the politics is dirty business for politicians”...
What a PITY though: LIFE isn't long enough to repeat STUPIDITIES'...
22. Especially in this epoch of MASS unemployment, unbearable POVERTY and the WAR THREATS the Capitalism is dragging the mankind to medieval slave trade conditions by conditioning us to the excessive poverty.... ... ...
23. The raw materials -class conscious youth and workers- of the Revolution are out there at every level of society. It's just that not many progressive forces are available to train and motivate them politically...
24. And that is for the simple reason that, the pre-sent generation is grown up during the Prospering years of Capitalism assimilated them to the middle-class ideology...",2293516327472726,https://facebook.com/groups/Ethpolsocpsy/posts/2293516327472726,2022-04-28 22:43:41
